probka;y_real;y_model;u_input;error
121;12.6000;13.6710;22.0000;-1.0710
122;12.6000;13.6854;22.0000;-1.0854
123;12.6000;13.6997;22.0000;-1.0997
124;12.6000;13.7141;22.0000;-1.1141
125;12.7000;13.7284;22.0000;-1.0284
126;12.7000;13.7427;22.0000;-1.0427
127;12.7000;13.7570;22.0000;-1.0570
128;12.8000;13.7713;22.0000;-0.9713
129;12.8000;13.7856;22.0000;-0.9856
130;12.8000;13.7999;22.0000;-0.9999
131;12.8000;13.8141;22.0000;-1.0141
132;12.8000;13.8284;22.0000;-1.0284
133;12.8000;13.8426;22.0000;-1.0426
134;12.8000;13.8568;22.0000;-1.0568
135;12.8000;13.8711;22.0000;-1.0711
136;12.8000;13.8853;22.0000;-1.0853
137;12.8000;13.8995;22.0000;-1.0995
138;12.9000;13.9136;22.0000;-1.0136
139;12.9000;13.9278;22.0000;-1.0278
140;12.9000;13.9420;22.0000;-1.0420
141;13.0000;13.9561;22.0000;-0.9561
142;13.0000;13.9703;22.0000;-0.9703
143;13.0000;13.9844;22.0000;-0.9844
144;13.0000;13.9985;22.0000;-0.9985
145;13.0000;14.0126;22.0000;-1.0126
146;13.0000;14.0267;22.0000;-1.0267
147;13.0000;14.0408;22.0000;-1.0408
148;13.0000;14.0549;22.0000;-1.0549
149;13.0000;14.0690;22.0000;-1.0690
150;13.1000;14.0830;22.0000;-0.9830
151;13.1000;14.0971;22.0000;-0.9971
152;13.1000;14.1111;22.0000;-1.0111
153;13.1000;14.1251;22.0000;-1.0251
154;13.2000;14.1391;22.0000;-0.9391
155;13.2000;14.1531;22.0000;-0.9531
156;13.2000;14.1671;22.0000;-0.9671
157;13.2000;14.1811;22.0000;-0.9811
158;13.2000;14.1951;22.0000;-0.9951
159;13.3000;14.2090;22.0000;-0.9090
160;13.3000;14.2230;22.0000;-0.9230
161;13.3000;14.2369;22.0000;-0.9369
162;13.4000;14.2508;22.0000;-0.8508
163;13.4000;14.2648;22.0000;-0.8648
164;13.4000;14.2787;22.0000;-0.8787
165;13.4000;14.2926;22.0000;-0.8926
166;13.4000;14.3064;22.0000;-0.9064
167;13.4000;14.3203;22.0000;-0.9203
168;13.4000;14.3342;22.0000;-0.9342
169;13.4000;14.3480;22.0000;-0.9480
170;13.4000;14.3619;22.0000;-0.9619
171;13.4000;14.3757;22.0000;-0.9757
172;13.5000;14.3895;22.0000;-0.8895
173;13.5000;14.4033;22.0000;-0.9033
174;13.5000;14.4171;22.0000;-0.9171
175;13.6000;14.4309;22.0000;-0.8309
176;13.6000;14.4447;22.0000;-0.8447
177;13.6000;14.4585;22.0000;-0.8585
178;13.6000;14.4722;22.0000;-0.8722
179;13.7000;14.4860;22.0000;-0.7860
180;13.7000;14.4997;22.0000;-0.7997
181;13.7000;14.5134;22.0000;-0.8134
182;13.7000;14.5272;22.0000;-0.8272
183;13.8000;14.5409;22.0000;-0.7409
184;13.8000;14.5546;22.0000;-0.7546
185;13.8000;14.5683;22.0000;-0.7683
186;13.8000;14.5819;22.0000;-0.7819
187;13.8000;14.5956;22.0000;-0.7956
188;13.8000;14.6092;22.0000;-0.8092
189;13.8000;14.6229;22.0000;-0.8229
190;13.8000;14.6365;22.0000;-0.8365
191;13.8000;14.6501;22.0000;-0.8501
192;13.9000;14.6638;22.0000;-0.7638
193;13.9000;14.6774;22.0000;-0.7774
194;13.9000;14.6910;22.0000;-0.7910
195;13.9000;14.7045;22.0000;-0.8045
196;14.0000;14.7181;22.0000;-0.7181
197;14.0000;14.7317;22.0000;-0.7317
198;14.0000;14.7452;22.0000;-0.7452
199;14.0000;14.7588;22.0000;-0.7588
200;14.1000;14.7723;22.0000;-0.6723
201;14.1000;14.7858;22.0000;-0.6858
202;14.1000;14.7993;22.0000;-0.6993
203;14.1000;14.8128;22.0000;-0.7128
204;14.1000;14.8263;22.0000;-0.7263
205;14.1000;14.8398;22.0000;-0.7398
206;14.1000;14.8532;22.0000;-0.7532
207;14.1000;14.8667;22.0000;-0.7667
208;14.2000;14.8802;22.0000;-0.6802
209;14.2000;14.8936;22.0000;-0.6936
210;14.2000;14.9070;22.0000;-0.7070
211;14.2000;14.9204;22.0000;-0.7204
212;14.2000;14.9338;22.0000;-0.7338
213;14.3000;14.9472;22.0000;-0.6472
214;14.3000;14.9606;22.0000;-0.6606
215;14.3000;14.9740;22.0000;-0.6740
216;14.4000;14.9874;22.0000;-0.5874
217;14.4000;15.0007;22.0000;-0.6007
218;14.4000;15.0141;22.0000;-0.6141
219;14.4000;15.0274;22.0000;-0.6274
220;14.4000;15.0407;22.0000;-0.6407
221;14.5000;15.0540;22.0000;-0.5540
222;14.5000;15.0673;22.0000;-0.5673
223;14.5000;15.0806;22.0000;-0.5806
224;14.5000;15.0939;22.0000;-0.5939
225;14.5000;15.1072;22.0000;-0.6072
226;14.5000;15.1205;22.0000;-0.6205
227;14.5000;15.1337;22.0000;-0.6337
228;14.5000;15.1470;22.0000;-0.6470
229;14.6000;15.1602;22.0000;-0.5602
230;14.6000;15.1734;22.0000;-0.5734
231;14.6000;15.1866;22.0000;-0.5866
232;14.6000;15.1998;22.0000;-0.5998
233;14.6000;15.2130;22.0000;-0.6130
234;14.7000;15.2262;22.0000;-0.5262
235;14.7000;15.2394;22.0000;-0.5394
236;14.7000;15.2525;22.0000;-0.5525
237;14.8000;15.2657;22.0000;-0.4657
238;14.8000;15.2788;22.0000;-0.4788
239;14.8000;15.2920;22.0000;-0.4920
240;14.8000;15.3051;22.0000;-0.5051
241;14.8000;15.3182;22.0000;-0.5182
