23.12.2023	01:01:02	4	2	0	1	0	0	1,9	1,4	2,5
23.12.2023	01:01:02	4	2	0	1	1	1	1,9	1,4	2,5
23.12.2023	01:01:02	4	2	1	1	1	1	1,9	1,4	2,5
23.12.2023	01:06:12	1	2	1	1	1	1	7,1	1,5	2,3
23.12.2023	01:06:13	1	2	1	1	2	1	7,1	1,5	2,3
23.12.2023	01:06:13	1	2	0	1	2	1	7,1	1,5	2,3
23.12.2023	01:18:48	4	2	0	1	0	0	5	1,4	2
23.12.2023	01:18:48	4	2	0	1	1	1	5	1,4	2
23.12.2023	01:18:49	4	2	1	1	1	1	5	1,4	2
23.12.2023	01:22:02	1	2	1	1	1	1	7,1	1,4	1,9
23.12.2023	01:22:02	1	2	1	1	2	1	7,1	1,4	1,9
23.12.2023	01:22:02	1	2	0	1	2	1	7,1	1,4	1,9
23.12.2023	01:27:52	3	2	0	1	2	1	7	1,4	1,6
23.12.2023	01:27:52	3	2	1	1	2	1	7	1,4	1,6
23.12.2023	01:29:30	1	2	1	1	2	1	7,1	1,4	1,6
23.12.2023	01:29:31	1	2	0	1	2	1	7,1	1,4	1,6
-----------------------------------										
23.12.2023	11:40:10	3	2	0	1	0	1	2,3	2,1	1,9
23.12.2023	11:40:10	3	2	1	1	0	1	2,3	2,1	1,9
23.12.2023	11:44:58	1	2	1	1	0	1	7,1	2	1,7
23.12.2023	11:44:59	1	2	0	1	0	1	7,1	2	1,7
23.12.2023	11:46:37	1	2	0	1	2	1	8,3	1,9	1,7
23.12.2023	11:49:45	4	2	0	1	2	1	7	1,9	1,5
23.12.2023	11:49:45	4	2	0	1	1	1	7	1,9	1,5
23.12.2023	11:49:46	4	2	1	1	1	1	7	1,9	1,5
23.12.2023	11:51:22	1	2	1	1	1	1	7,1	1,9	1,5
23.12.2023	11:51:23	1	2	1	1	2	1	7,1	1,9	1,5
23.12.2023	11:51:23	1	2	0	1	2	1	7,1	1,9	1,5
23.12.2023	12:11:59	3	2	0	1	2	1	3,9	1,8	1,5
23.12.2023	12:11:59	3	2	1	1	2	1	3,9	1,8	1,5
23.12.2023	12:14:14	4	2	0	1	0	0	5,4	1,8	1,5
23.12.2023	12:14:14	4	2	0	1	1	1	5,4	1,8	1,5
23.12.2023	12:14:15	4	2	1	1	1	1	5,4	1,8	1,5
23.12.2023	12:15:40	1	2	1	1	1	1	7,1	1,8	1,5
23.12.2023	12:15:40	1	2	1	1	2	1	7,1	1,8	1,5
23.12.2023	12:15:40	1	2	0	1	2	1	7,1	1,8	1,5
23.12.2023	12:20:27	3	2	0	1	2	1	7	1,8	1,5
23.12.2023	12:20:27	3	2	1	1	2	1	7	1,8	1,5
23.12.2023	12:20:30	1	2	1	1	2	1	7,1	1,8	1,5
23.12.2023	12:20:30	1	2	0	1	2	1	7,1	1,8	1,5
23.12.2023	12:37:15	3	2	0	1	2	1	3,9	1,7	1,2
23.12.2023	12:37:15	3	2	1	1	2	1	3,9	1,7	1,2
23.12.2023	12:40:37	1	2	1	1	2	1	7,1	1,7	1,1
23.12.2023	12:40:37	1	2	0	1	2	1	7,1	1,7	1,1
23.12.2023	12:59:43	3	2	0	1	2	1	3,9	1,3	0,7
23.12.2023	12:59:44	3	2	1	1	2	1	3,9	1,3	0,7
23.12.2023	13:03:09	1	2	1	1	2	1	7,1	1,3	0,7
23.12.2023	13:03:09	1	2	0	1	2	1	7,1	1,3	0,7
23.12.2023	13:39:29	4	2	0	1	0	0	2,5	0,7	0,3
23.12.2023	13:39:29	4	2	0	1	1	1	2,5	0,7	0,3
23.12.2023	13:39:29	4	2	1	1	1	1	2,5	0,7	0,3
23.12.2023	13:43:41	1	2	1	1	1	1	7,1	0,7	0,3
23.12.2023	13:43:41	1	2	1	1	2	1	7,1	0,7	0,3
23.12.2023	13:43:41	1	2	0	1	2	1	7,1	0,7	0,3
23.12.2023	13:47:40	3	2	0	1	2	1	7	0,7	0,3
23.12.2023	13:47:40	3	2	1	1	2	1	7	0,7	0,3
