time	Czujnik	data	temperature [°C]	u	time	Czujnik	data	temperature [°C]	ON/OFF
12:30:27	CRT	122	12,2	1	12:30:28	HRT	119	11,9	22
12:30:28	CRT	122	12,2	1	12:30:28	HRT	119	11,9	22
12:30:29	CRT	122	12,2	1	12:30:29	HRT	119	11,9	22
12:30:29	CRT	122	12,2	1	12:30:29	HRT	119	11,9	22
12:30:30	CRT	122	12,2	1	12:30:30	HRT	119	11,9	22
12:30:31	CRT	122	12,2	1	12:30:31	HRT	119	11,9	22
12:30:31	CRT	122	12,2	1	12:30:31	HRT	119	11,9	22
12:30:32	CRT	122	12,2	1	12:30:32	HRT	119	11,9	22
12:30:33	CRT	122	12,2	1	12:30:33	HRT	119	11,9	22
12:30:33	CRT	122	12,2	1	12:30:33	HRT	119	11,9	22
12:30:34	CRT	122	12,2	1	12:30:34	HRT	119	11,9	22
12:30:35	CRT	122	12,2	1	12:30:35	HRT	119	11,9	22
12:30:35	CRT	122	12,2	1	12:30:35	HRT	119	11,9	22
12:30:36	CRT	122	12,2	1	12:30:36	HRT	119	11,9	22
12:30:37	CRT	122	12,2	1	12:30:37	HRT	119	11,9	22
12:30:37	CRT	122	12,2	1	12:30:37	HRT	119	11,9	22
12:30:38	CRT	122	12,2	1	12:30:38	HRT	119	11,9	22
12:30:39	CRT	122	12,2	1	12:30:39	HRT	119	11,9	22
12:30:39	CRT	122	12,2	1	12:30:39	HRT	119	11,9	22
12:30:40	CRT	122	12,2	1	12:30:40	HRT	119	11,9	22
12:30:40	CRT	122	12,2	1	12:30:40	HRT	119	11,9	22
12:30:41	CRT	122	12,2	1	12:30:41	HRT	119	11,9	22
12:30:42	CRT	121	12,1	1	12:30:42	HRT	120	12	22
12:30:42	CRT	121	12,1	1	12:30:42	HRT	120	12	22
12:30:43	CRT	121	12,1	1	12:30:43	HRT	120	12	22
12:30:44	CRT	121	12,1	1	12:30:44	HRT	120	12	22
12:30:44	CRT	121	12,1	1	12:30:44	HRT	120	12	22
12:30:45	CRT	121	12,1	1	12:30:45	HRT	120	12	22
12:30:46	CRT	121	12,1	1	12:30:46	HRT	120	12	22
12:30:46	CRT	121	12,1	1	12:30:46	HRT	120	12	22
12:30:47	CRT	121	12,1	1	12:30:47	HRT	120	12	22
12:30:48	CRT	121	12,1	1	12:30:48	HRT	120	12	22
12:30:48	CRT	121	12,1	1	12:30:48	HRT	120	12	22
