probka;u;y_real;y_model;error
143;1.0000;7.0000;6.3209;0.6791
144;1.0000;7.1000;6.2535;0.8465
145;1.0000;-10.0000;6.3209;-16.3209
146;1.0000;-7.9000;-5.2013;-2.6987
147;1.0000;-12.1000;-3.7863;-8.3137
148;1.0000;-7.9000;-6.6163;-1.2837
149;1.0000;-12.1000;-3.7863;-8.3137
150;1.0000;-7.9000;-6.6163;-1.2837
151;1.0000;-12.1000;-3.7863;-8.3137
152;1.0000;-7.9000;-6.6163;-1.2837
153;1.0000;-10.0000;-3.7863;-6.2137
154;1.0000;-7.9000;-5.2013;-2.6987
155;1.0000;-12.1000;-3.7863;-8.3137
156;1.0000;-7.9000;-6.6163;-1.2837
157;1.0000;-12.1000;-3.7863;-8.3137
158;1.0000;-7.9000;-6.6163;-1.2837
159;1.0000;-12.1000;-3.7863;-8.3137
160;1.0000;-7.9000;-6.6163;-1.2837
161;1.0000;-12.1000;-3.7863;-8.3137
162;1.0000;-7.9000;-6.6163;-1.2837
163;1.0000;-12.1000;-3.7863;-8.3137
164;1.0000;-7.9000;-6.6163;-1.2837
165;1.0000;-12.1000;-3.7863;-8.3137
166;1.0000;-7.9000;-6.6163;-1.2837
167;1.0000;-10.5000;-3.7863;-6.7137
168;1.0000;-7.9000;-5.5382;-2.3618
169;1.0000;-5.1000;-3.7863;-1.3137
170;1.0000;2.9000;-1.8996;4.7996
171;1.0000;0.7000;3.4909;-2.7909
172;1.0000;7.0000;2.0085;4.9915
173;1.0000;-0.6000;6.2535;-6.8535
174;1.0000;2.9000;1.1326;1.7674
175;1.0000;8.2000;3.4909;4.7091
176;1.0000;0.6000;7.0621;-6.4621
177;1.0000;2.9000;1.9411;0.9589
178;1.0000;0.4000;3.4909;-3.0909
179;1.0000;1.3000;1.8064;-0.5064
180;1.0000;2.2000;2.4128;-0.2128
181;1.0000;3.1000;3.0192;0.0808
182;1.0000;1.8000;3.6257;-1.8257
183;1.0000;3.0000;2.7497;0.2503
184;1.0000;4.5000;3.5583;0.9417
185;1.0000;6.9000;4.5690;2.3310
186;1.0000;6.8000;6.1862;0.6138
187;1.0000;6.8000;6.1188;0.6812
188;1.0000;4.0000;6.1188;-2.1188
189;1.0000;4.2000;4.2321;-0.0321
190;1.0000;4.2000;4.3669;-0.1669
191;1.0000;5.4000;4.3669;1.0331
