kanal,r2_bez_kanalu,adj_r2_bez_kanalu,delta_r2,delta_adj_r2
PWR,0.762505530970369,0.7605055775469616,0.23655817962358894,0.23854424739902536
AT,0.9976333827156468,0.9976134533069365,0.0014303278783110995,0.0014363716390504155
